Nom,Cores,Potència,Caché
AMD Ryzen™ Threadripper™ PRO 7995WX,96,Up to 5.1 GHz,384 MB
AMD Ryzen™ Threadripper™ 7980X,64,Up to 5.1 GHz,[
AMD Ryzen™ Threadripper™ PRO 7985WX,64,Up to 5.1 GHz,{
AMD Ryzen™ Threadripper™ PRO 5995WX,64,Up to 4.5 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 7995WX"","
AMD Ryzen™ Threadripper™ PRO 3995WX,64,Up to 4.2 GHz,"# of CPU Cores: ""96"","
AMD Ryzen™ Threadripper™ 3990X,64,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ Threadripper™ 7970X,32,Up to 5.3 GHz,"L3 Cache: ""384 MB"""
AMD Ryzen™ Threadripper™ 3970X,32,Up to 4.5 GHz,"},"
AMD Ryzen™ Threadripper™ 2990WX,32,Up to 4.2 GHz,{
AMD Ryzen™ Threadripper™ PRO 7975WX,32,Up to 5.3 GHz,"Name: ""AMD Ryzen™ Threadripper™ 7980X"","
AMD Ryzen™ Threadripper™ PRO 5975WX,32,Up to 4.5 GHz,"# of CPU Cores: ""64"","
AMD Ryzen™ Threadripper™ PRO 3975WX,32,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ Threadripper™ 7960X,24,Up to 5.3 GHz,"L3 Cache: ""256 MB"""
AMD Ryzen™ Threadripper™ 3960X,24,Up to 4.5 GHz,"},"
AMD Ryzen™ Threadripper™ 2970WX,24,Up to 4.2 GHz,{
AMD Ryzen™ Threadripper™ PRO 7965WX,24,Up to 5.3 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 7985WX"","
AMD Ryzen™ Threadripper™ PRO 5965WX,24,Up to 4.5 GHz,"# of CPU Cores: ""64"","
AMD Ryzen™ 9 9950X,16,Up to 5.7 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 9 7950X3D,16,Up to 5.7 GHz,"L3 Cache: ""256 MB"""
AMD Ryzen™ 9 7950X,16,Up to 5.7 GHz,"},"
AMD Ryzen™ 9 7945HX3D,16,Up to 5.4 GHz,{
AMD Ryzen™ 9 7945HX,16,Up to 5.4 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 5995WX"","
AMD Ryzen™ 9 7940HX,16,Up to 5.2 GHz,"# of CPU Cores: ""64"","
AMD Ryzen™ 9 5950X,16,Up to 4.9 GHz,"Max. Boost Clock: ""Up to 4.5 GHz"","
